Sensor_data:0.00,0.00,1.00,0.55,1.16,-1.22,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.43,1.22,-1.10,0.02,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-1.28,-0.04,
Sensor_data:0.00,-0.00,1.00,0.31,1.10,-1.28,-0.11,
Sensor_data:-0.00,0.00,1.00,0.31,1.16,-1.22,0.09,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.22,0.02,
Sensor_data:0.00,0.00,1.00,0.37,1.10,-1.16,-0.17,
Sensor_data:0.00,-0.00,1.00,0.43,1.28,-1.16,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-1.16,-0.01,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-0.98,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.55,1.10,-1.04,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.49,1.22,-1.22,-0.04,
Sensor_data:-0.00,0.00,1.00,0.31,1.16,-1.16,0.02,
Sensor_data:-0.00,0.00,1.00,0.31,1.16,-1.16,-0.07,
Sensor_data:-0.00,0.00,1.00,0.18,1.16,-1.22,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-1.34,0.09,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-1.22,0.02,
Sensor_data:0.00,-0.00,1.00,0.43,1.16,-1.22,0.02,
Sensor_data:0.00,0.00,1.00,0.37,1.10,-1.22,-0.17,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-1.10,-0.07,
Sensor_data:0.00,-0.00,1.00,0.24,1.04,-1.22,-0.11,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-1.16,-0.01,
Sensor_data:-0.00,0.00,1.00,0.37,1.22,-1.22,0.09,
Sensor_data:-0.00,0.00,1.00,0.37,1.10,-1.22,0.09,
Sensor_data:-0.00,0.00,1.00,0.24,1.10,-1.04,0.02,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-1.16,-0.07,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.22,-0.01,
Sensor_data:0.00,-0.00,1.00,0.31,1.04,-1.22,-0.01,
Sensor_data:-0.00,0.00,1.00,0.24,1.16,-1.22,0.05,
Sensor_data:0.00,0.00,1.00,0.37,1.16,-1.22,0.02,
Sensor_data:-0.00,0.00,1.00,0.49,1.22,-1.28,-0.04,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.10,-0.04,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.22,-0.01,
Sensor_data:0.00,0.00,1.00,0.18,0.98,-1.22,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.24,1.10,-1.28,0.02,
Sensor_data:-0.00,0.00,1.00,0.24,1.10,-1.22,0.02,
Sensor_data:0.00,0.00,1.00,0.37,1.16,-1.16,0.02,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.10,0.09,
Sensor_data:0.00,0.00,1.00,0.24,1.04,-1.10,0.05,
Sensor_data:0.00,0.00,1.00,0.49,1.04,-1.10,0.02,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.16,-0.04,
Sensor_data:-0.00,0.00,1.00,0.49,1.04,-1.16,0.09,
Sensor_data:0.00,-0.00,1.00,0.43,1.16,-1.16,-0.14,
Sensor_data:0.00,0.00,1.00,0.43,1.04,-1.10,-0.04,
Sensor_data:0.00,-0.00,1.00,0.49,1.10,-1.28,-0.17,
Sensor_data:-0.00,0.00,1.00,0.37,1.22,-1.16,0.05,
Sensor_data:0.00,0.00,1.00,0.55,1.16,-1.22,-0.01,
Sensor_data:0.00,-0.00,1.00,0.43,1.10,-1.28,-0.01,
Sensor_data:-0.00,0.00,1.00,0.24,1.04,-1.22,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.37,1.16,-1.22,-0.01,
Sensor_data:0.00,-0.00,1.00,0.37,1.16,-1.28,0.02,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.34,-0.01,
Sensor_data:0.00,-0.00,1.00,0.55,1.16,-1.10,0.05,
Sensor_data:-0.00,0.00,1.00,0.31,1.16,-1.04,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.43,0.98,-1.22,-0.01,
Sensor_data:-0.00,0.00,1.00,0.37,1.10,-1.22,-0.11,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.28,-0.04,
Sensor_data:0.00,0.00,1.00,0.55,1.10,-1.22,0.02,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-1.28,0.02,
Sensor_data:0.00,0.00,1.00,0.43,0.98,-1.22,-0.04,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-1.10,-0.01,
Sensor_data:-0.00,0.00,1.00,0.18,1.16,-1.10,-0.04,
Sensor_data:-0.00,0.00,1.00,0.24,1.04,-1.34,-0.01,
Sensor_data:-0.00,0.00,1.00,0.24,1.16,-1.22,-0.01,
Sensor_data:-0.00,0.00,1.00,0.24,1.22,-1.28,0.12,
Sensor_data:0.00,-0.00,1.00,0.43,1.22,-1.28,0.02,
Sensor_data:0.00,0.00,1.00,0.55,1.16,-1.28,-0.11,
Sensor_data:0.00,0.00,1.00,0.31,1.16,-1.10,0.05,
Sensor_data:-0.00,0.00,1.00,0.37,1.10,-1.22,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-1.16,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.61,1.22,-1.22,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-1.04,-0.01,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-1.22,-0.11,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.22,-0.07,
Sensor_data:-0.00,0.00,1.00,0.61,1.22,-1.16,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.43,1.28,-1.22,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.37,1.16,-1.22,-0.07,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-1.10,0.05,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.28,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-1.22,-0.11,
Sensor_data:-0.00,0.00,1.00,0.37,1.10,-1.10,-0.11,
Sensor_data:0.00,0.00,1.00,0.24,1.22,-1.28,-0.01,
Sensor_data:0.00,0.00,1.00,0.31,1.16,-1.04,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-1.10,-0.04,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.10,-0.04,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.22,-0.01,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-1.28,-0.01,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-1.10,0.02,
Sensor_data:0.00,0.00,1.00,0.49,1.10,-1.16,-0.11,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-1.22,-0.01,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.10,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.04,-0.07,
Sensor_data:0.00,-0.00,1.00,0.55,1.22,-1.22,0.05,
Sensor_data:-0.00,0.00,1.00,0.55,1.34,-1.10,0.05,
Sensor_data:0.00,0.00,1.00,0.49,1.10,-1.22,-0.04,
Sensor_data:0.00,-0.00,1.00,0.37,1.04,-1.04,-0.01,
Sensor_data:-0.00,0.00,1.00,0.37,1.04,-1.10,-0.14,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-1.22,-0.01,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.28,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.49,1.10,-1.22,0.02,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.28,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.49,0.92,-1.40,0.09,
Sensor_data:-0.00,0.00,1.00,0.55,1.10,-1.16,-0.07,
Sensor_data:-0.00,0.00,1.00,0.37,1.22,-1.16,-0.11,
Sensor_data:-0.00,0.00,1.00,0.37,1.22,-1.10,-0.07,
Sensor_data:0.00,0.00,1.00,0.31,1.10,-1.10,-0.14,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-1.40,-0.11,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.28,0.05,
Sensor_data:-0.00,-0.00,1.00,0.24,1.10,-1.22,-0.04,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.16,0.02,
Sensor_data:0.00,0.00,1.00,0.37,1.22,-1.10,-0.01,
Sensor_data:-0.00,0.00,1.00,0.24,0.98,-1.22,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-1.16,0.02,
Sensor_data:0.00,0.00,1.00,0.49,1.04,-1.28,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.28,-0.17,
Sensor_data:-0.00,-0.00,1.00,0.43,1.04,-1.22,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-0.92,0.09,
Sensor_data:0.00,0.00,1.00,0.61,1.10,-1.16,-0.07,
Sensor_data:0.00,-0.00,1.00,0.49,1.04,-1.22,0.02,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-1.28,-0.01,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-1.16,-0.20,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-1.04,-0.01,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.16,-0.04,
Sensor_data:-0.00,0.00,1.00,0.61,1.04,-1.16,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.49,1.22,-1.16,0.02,
Sensor_data:0.00,0.00,1.00,0.24,1.04,-1.10,-0.04,
Sensor_data:-0.00,0.00,1.00,0.31,1.04,-1.28,0.05,
Sensor_data:-0.00,-0.00,1.00,0.31,1.10,-1.16,-0.01,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-1.16,-0.04,
Sensor_data:-0.00,0.00,1.00,0.61,1.10,-1.28,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-1.10,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.37,1.16,-0.98,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.43,1.22,-1.34,0.09,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.16,0.12,
Sensor_data:0.00,0.00,1.00,0.37,1.22,-1.22,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.37,1.16,-1.16,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.10,-0.04,
Sensor_data:0.00,-0.00,1.00,0.55,1.04,-1.04,-0.01,
Sensor_data:0.00,-0.00,1.00,0.55,1.16,-1.16,0.09,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.28,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-1.16,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.22,-1.10,-0.07,
Sensor_data:0.00,0.00,1.00,0.49,1.22,-1.16,0.09,
Sensor_data:-0.00,0.00,1.00,0.49,1.22,-1.34,0.02,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-1.28,-0.04,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.04,-0.11,
Sensor_data:0.00,-0.00,1.00,0.43,1.16,-1.22,-0.07,
Sensor_data:0.00,-0.00,1.00,0.55,1.10,-1.28,-0.07,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-1.16,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-1.22,0.05,
Sensor_data:-0.00,0.00,1.00,0.49,1.22,-1.04,0.09,
Sensor_data:-0.00,0.00,1.00,0.43,1.22,-1.04,0.09,
Sensor_data:-0.00,-0.00,1.00,0.31,1.16,-1.16,0.05,
Sensor_data:-0.00,-0.00,1.00,0.31,1.16,-1.16,-0.07,
Sensor_data:-0.00,0.00,1.00,0.37,1.10,-1.28,-0.01,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-1.16,0.02,
Sensor_data:-0.00,0.00,1.00,0.49,1.22,-1.28,-0.01,
Sensor_data:0.00,-0.00,1.00,0.37,1.28,-1.16,-0.11,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-1.22,-0.07,
Sensor_data:0.00,-0.00,1.00,0.24,1.10,-1.28,-0.07,
Sensor_data:0.00,0.00,1.00,0.49,1.10,-1.22,0.02,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.16,-0.14,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.22,-0.01,
Sensor_data:0.00,0.00,1.00,0.37,1.10,-1.16,0.02,
Sensor_data:-0.00,0.00,1.00,0.43,1.22,-1.16,0.02,
Sensor_data:0.00,0.00,1.00,0.55,1.22,-1.34,-0.04,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.22,0.09,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-1.28,-0.01,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.34,-0.01,
Sensor_data:-0.00,0.00,1.00,0.24,0.98,-1.22,-0.11,
Sensor_data:-0.00,0.00,1.00,0.37,1.04,-1.16,0.02,
Sensor_data:-0.00,0.00,1.00,0.49,1.28,-1.28,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-1.16,0.15,
Sensor_data:0.00,0.00,1.00,0.31,1.16,-1.10,0.02,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-1.10,-0.01,
Sensor_data:0.00,0.00,1.00,0.49,1.22,-1.16,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.37,1.22,-1.28,-0.04,
Sensor_data:0.00,0.00,1.00,0.37,1.10,-1.22,-0.04,
Sensor_data:-0.00,0.00,1.00,0.37,1.04,-1.22,0.02,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-1.10,0.05,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-1.22,0.09,
Sensor_data:0.00,0.00,1.00,0.49,1.04,-1.16,-0.01,
Sensor_data:-0.00,0.00,1.00,0.55,1.16,-1.16,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.37,1.22,-1.28,0.05,
Sensor_data:0.00,0.00,1.00,0.49,1.16,-1.16,0.02,
Sensor_data:0.00,0.00,1.00,0.49,1.16,-1.16,-0.04,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.22,0.09,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.16,-0.07,
Sensor_data:0.00,-0.00,1.00,0.49,1.16,-0.98,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-1.04,-0.11,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.10,-0.01,
Sensor_data:0.00,0.00,1.00,0.49,1.16,-1.10,-0.04,
Sensor_data:0.00,-0.00,1.00,0.43,1.22,-1.22,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.18,1.10,-1.28,-0.07,
Sensor_data:-0.00,0.00,1.00,0.24,1.10,-1.28,0.05,
Sensor_data:-0.00,0.00,1.00,0.24,1.22,-1.16,-0.07,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-1.10,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.04,-0.04,
Sensor_data:0.00,0.00,1.00,0.31,0.98,-1.34,-0.11,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-1.22,-0.07,
Sensor_data:0.00,-0.00,1.00,0.49,1.04,-1.04,-0.04,
Sensor_data:-0.00,0.00,1.00,0.55,1.16,-1.10,-0.11,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-1.16,-0.04,
Sensor_data:0.00,0.00,1.00,0.24,1.22,-1.16,0.02,
Sensor_data:0.00,-0.00,1.00,0.31,1.28,-1.22,-0.11,
Sensor_data:-0.00,0.00,1.00,0.49,1.22,-1.10,-0.07,
Sensor_data:0.00,0.00,1.00,0.43,1.28,-1.10,-0.04,
Sensor_data:-0.00,0.00,1.00,0.37,1.34,-1.28,-0.04,
Sensor_data:-0.00,0.00,1.00,0.37,1.04,-1.28,-0.04,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-1.10,-0.01,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.22,-0.04,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.28,0.05,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-1.16,0.09,
Sensor_data:-0.00,-0.00,1.00,0.37,0.98,-1.22,-0.01,
Sensor_data:0.00,0.00,1.00,0.49,1.04,-1.16,0.09,
Sensor_data:0.00,0.00,1.00,0.55,1.10,-1.22,-0.07,
Sensor_data:0.00,-0.00,1.00,0.55,1.22,-1.22,0.02,
Sensor_data:-0.00,0.00,1.00,0.55,1.16,-1.10,-0.04,
Sensor_data:0.00,0.00,1.00,0.18,1.34,-1.16,-0.04,
Sensor_data:-0.00,0.00,1.00,0.43,1.28,-1.16,-0.07,
Sensor_data:-0.00,0.00,1.00,0.37,1.10,-1.22,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.22,-0.01,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-1.10,0.09,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.22,0.02,
Sensor_data:0.00,-0.00,1.00,0.55,1.16,-1.34,0.02,
Sensor_data:0.00,0.00,1.00,0.61,1.16,-1.28,-0.11,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-1.28,-0.04,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.10,0.09,
Sensor_data:0.00,0.00,1.00,0.49,1.28,-1.34,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.49,1.22,-1.28,0.05,
Sensor_data:-0.00,-0.00,1.00,0.55,1.22,-1.10,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-1.22,0.05,
Sensor_data:-0.00,-0.00,1.00,0.24,1.16,-1.16,-0.04,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-1.28,-0.04,
Sensor_data:-0.00,0.00,1.00,0.55,1.16,-1.16,-0.07,
Sensor_data:-0.00,0.00,1.00,0.55,1.22,-1.22,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-1.16,-0.01,
Sensor_data:-0.00,0.00,1.00,0.24,1.16,-1.22,0.09,
Sensor_data:-0.00,0.00,1.00,0.37,1.22,-1.22,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.37,1.34,-1.16,0.09,
Sensor_data:-0.00,0.00,1.00,0.61,1.10,-1.16,-0.07,
Sensor_data:-0.00,0.00,1.00,0.43,0.98,-1.10,0.05,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-1.28,-0.01,
Sensor_data:-0.00,0.00,1.00,0.49,1.28,-1.04,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-1.10,-0.04,
Sensor_data:0.00,-0.00,1.00,0.37,1.22,-1.22,-0.04,
Sensor_data:0.00,-0.00,1.00,0.55,1.16,-1.22,-0.11,
Sensor_data:-0.00,0.00,1.00,0.37,1.04,-1.28,0.02,
Sensor_data:-0.00,0.00,1.00,0.55,1.22,-1.10,0.12,
Sensor_data:0.00,-0.00,1.00,0.61,1.16,-1.22,-0.07,
Sensor_data:0.00,-0.00,1.00,0.37,1.16,-1.10,-0.04,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-0.98,-0.04,
Sensor_data:0.00,0.00,1.00,0.31,1.04,-1.16,0.02,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.46,-0.14,
Sensor_data:-0.00,0.00,1.00,0.55,1.22,-1.40,0.02,
Sensor_data:-0.00,0.00,1.00,0.31,1.16,-1.04,-0.04,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-1.16,-0.11,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.16,-0.01,
Sensor_data:0.00,-0.00,1.00,0.43,1.16,-1.10,-0.04,
Sensor_data:-0.00,0.00,1.00,0.43,1.22,-1.10,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.28,-1.22,-0.07,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.22,0.12,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.16,0.05,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.34,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.49,1.10,-1.28,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.49,1.22,-1.28,-0.01,
Sensor_data:0.00,-0.00,1.00,0.43,1.10,-1.34,-0.07,
Sensor_data:0.00,0.00,1.00,0.37,1.04,-1.16,0.02,
Sensor_data:0.00,-0.00,1.00,0.55,1.28,-1.10,0.02,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.04,0.05,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-1.16,-0.11,
Sensor_data:0.00,-0.00,1.00,0.31,1.10,-1.16,-0.04,
Sensor_data:-0.00,0.00,1.00,0.24,1.04,-1.16,0.09,
Sensor_data:-0.00,0.00,1.00,0.37,1.10,-1.28,0.02,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.28,-0.01,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.04,0.02,
Sensor_data:-0.00,-0.00,1.00,0.31,0.98,-1.04,0.05,
Sensor_data:-0.00,-0.00,1.00,0.49,1.04,-1.28,-0.01,
Sensor_data:0.00,0.00,1.00,0.31,1.04,-1.16,-0.04,
Sensor_data:0.00,0.00,1.00,0.37,1.16,-1.16,-0.07,
Sensor_data:0.00,0.00,1.00,0.61,1.16,-1.16,-0.01,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-1.22,-0.01,
Sensor_data:-0.00,0.00,1.00,0.37,1.22,-1.22,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.37,1.22,-1.04,-0.14,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-0.92,0.05,
Sensor_data:-0.00,-0.00,1.00,0.61,1.16,-1.16,-0.04,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-1.04,0.02,
Sensor_data:-0.00,-0.00,1.00,0.31,1.16,-1.04,-0.11,
Sensor_data:0.00,-0.00,1.00,0.43,1.16,-1.28,-0.04,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.22,-0.14,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-1.16,-0.01,
Sensor_data:0.00,0.00,1.00,0.37,1.22,-1.16,-0.01,
Sensor_data:0.00,0.00,1.00,0.37,1.22,-1.10,-0.07,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-1.22,-0.01,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-1.28,0.05,
Sensor_data:-0.00,0.00,1.00,0.37,0.98,-1.10,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.04,-0.11,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-1.10,-0.14,
Sensor_data:-0.00,0.00,1.00,0.61,1.16,-1.16,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.31,1.10,-1.16,-0.01,
Sensor_data:0.00,-0.00,1.00,0.12,1.04,-1.22,0.05,
Sensor_data:-0.00,0.00,1.00,0.37,1.04,-1.10,-0.11,
Sensor_data:-0.00,0.00,1.00,0.55,1.16,-1.22,-0.01,
Sensor_data:0.00,-0.00,1.00,0.49,1.16,-1.22,-0.07,
Sensor_data:-0.00,0.00,1.00,0.37,1.22,-1.04,0.09,
Sensor_data:0.00,-0.00,1.00,0.24,1.16,-1.16,-0.04,
Sensor_data:0.00,0.00,1.00,0.31,1.16,-1.16,0.09,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-1.16,-0.04,
Sensor_data:0.00,0.00,1.00,0.37,1.16,-0.98,-0.01,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-1.22,0.05,
Sensor_data:0.00,-0.00,1.00,0.31,1.04,-1.22,0.05,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.16,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.22,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.22,0.02,
Sensor_data:-0.00,-0.00,1.00,0.37,1.16,-1.16,0.12,
Sensor_data:0.00,0.00,1.00,0.31,1.04,-1.34,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.31,0.98,-1.22,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.22,-0.11,
Sensor_data:0.00,0.00,1.00,0.43,1.04,-1.22,0.02,
Sensor_data:0.00,0.00,1.00,0.43,1.04,-1.22,-0.01,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-1.22,-0.07,
Sensor_data:0.00,0.00,1.00,0.49,1.10,-1.10,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-1.04,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-1.28,0.02,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-1.28,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.43,1.04,-1.34,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.43,1.04,-1.34,-0.04,
Sensor_data:0.00,-0.00,1.00,0.55,1.04,-1.16,0.15,
Sensor_data:-0.00,-0.00,1.00,0.61,1.04,-1.40,0.02,
Sensor_data:0.00,0.00,1.00,0.43,1.04,-1.16,-0.14,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-1.16,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-1.16,0.12,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-1.22,0.02,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-1.28,-0.04,
Sensor_data:0.00,0.00,1.00,0.37,1.10,-1.28,-0.04,
Sensor_data:-0.00,0.00,1.00,0.43,1.22,-1.16,-0.14,
Sensor_data:-0.00,-0.00,1.00,0.55,1.16,-1.10,-0.07,
Sensor_data:-0.00,0.00,1.00,0.43,1.28,-1.16,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-1.10,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.37,0.98,-1.04,-0.04,
Sensor_data:-0.00,0.00,1.00,0.55,1.16,-1.16,0.02,
Sensor_data:-0.00,0.00,1.00,0.49,1.28,-1.28,-0.04,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-1.22,-0.11,
Sensor_data:-0.00,0.00,1.00,0.31,1.16,-1.04,0.15,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-1.16,0.09,
Sensor_data:0.00,0.00,1.00,0.55,1.10,-1.22,-0.11,
Sensor_data:0.00,-0.00,1.00,0.37,1.22,-1.04,0.02,
Sensor_data:-0.00,0.00,1.00,0.43,1.28,-1.10,-0.07,
Sensor_data:0.00,-0.00,1.00,0.43,1.10,-1.28,-0.07,
Sensor_data:0.00,0.00,1.00,0.37,0.98,-1.22,0.09,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.22,0.09,
Sensor_data:-0.00,-0.00,1.00,0.31,1.10,-1.10,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-1.28,0.02,
Sensor_data:-0.00,-0.00,1.00,0.43,1.22,-1.22,-0.07,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-1.16,-0.04,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.28,-0.07,
Sensor_data:-0.00,0.00,1.00,0.55,1.16,-1.16,0.02,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.16,-0.07,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-0.98,0.02,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.16,-0.11,
Sensor_data:-0.00,0.00,1.00,0.31,1.04,-1.28,-0.11,
Sensor_data:-0.00,0.00,1.00,0.24,1.10,-1.22,0.02,
